id,name,album_name,artists,year,genre,popularity,mood,language,mood_distance
1ldDlELX4ZMOZL24BmUtPU,"""Are We Taping Now?""",The Legendary Typewriter Tape: 6/25/64 Jorma's House,"[""Janis Joplin"", ""Jorma Kaukonen""]",2022,Rock,0,Calm,english,4.648185989753969
5MlPFlwzOsJRkCtULJmfeJ,Knock the Cover Off the Ball,The Natural,"[""Randy Newman""]",1984,Pop,19,Calm,english,2.265464533919812
10lNLjUExk8lUin4pYkQKQ,"Panis angelicus, CFF 209",100 Christmas Masterworks,"[""Pl\u00e1cido Domingo"", ""Orchestra Sinfonica di Milano Giuseppe Verdi"", ""Marcello Viotti""]",2018,Classical,6,Calm,french,2.955526450425728
3xMuMLXbvbv6LSQaJlkyOh,"""Please Miss Giry, I Want To Go Back...""",Love Never Dies,"[""Andrew Lloyd Webber""]",2010,Pop,6,Calm,english,2.6720635184107677
0FxUnU4EjDoDGRiFuVjyBH,#4,Selected Ambient Works Volume II,"[""Aphex Twin""]",1994,Electronic,0,Calm,,1.771997567655164
1h6opGQWoSSmIM0FyYKJo4,'05: Never Again,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,9,Calm,english,1.8622248124059315
1uuarumWVhe76uxFcAQRCG,'Cello Song,The John Peel Session,"[""Nick Drake""]",2014,Folk,25,Calm,english,0.6624759655633584
3jRM8BzihiklERuYx5n9x8,'Frisco Depot,Live in England,"[""Mickey Newbury""]",1998,Country,0,Calm,english,2.840267679146176
3VS1qUm62nDLZJtxd0V2bb,'Round Midnight,'Round Midnight,"[""Betty Carter""]",2005,Jazz,40,Calm,english,3.085851635536109
4h983KK9mNuc9fnX0wHVe5,'Round Midnight,Because of You,"[""Kenny Rankin""]",1991,Pop,0,Calm,english,2.590479815027777
1oXBulkrwnsySKDgDxfbMa,'Round Midnight - Take 2,Thelonious Monk's Greatest Hits,"[""Thelonious Monk""]",1997,Jazz,2,Calm,english,1.7916909566235957
3lSpczrXGWy6Bzc28KGHhE,'S Wonderful,Amoroso,"[""Jo\u00e3o Gilberto""]",1977,Jazz,52,Calm,english,1.6217425242324388
4AUhzHKWTkwgNtre0pntpD,'Song',To Carry Alongside,"[""German Error Message""]",2010,Electronic,36,Calm,english,1.0347256080490908
5hoclIZb2neFz4fZjJ2YZN,Sons of Scotland,More Music from Braveheart,"[""James Horner"", ""Mel Gibson"", ""Eric Rigler"", ""London Symphony Orchestra""]",1997,Classical,23,Calm,english,2.50029127786268
6BXbJwdT4v6k4QdOUagTFF,'Tis So Sweet,Faith (Deluxe Edition),"[""Jim Brickman""]",2016,Pop,12,Calm,english,0.8653525578131621
5SzZKsAFb0IBF2qcrmPuxp,'Tis So Sweet To Trust In Jesus,Classical Praise Volume 3: Piano & Cello,"[""Phillip Keveren & Anthony LaMarchina""]",2005,Pop,34,Calm,english,2.357686776075225
3rdoCg64WQJp3LEOeARtp2,'sí Do Mhaimeo í,ANÚNA,"[""Michael McGlynn"", ""An\u00fana""]",2005,Classical,0,Calm,english,1.817436626676429
4zBICpDOISnN4xD9E5n4a8,'twas in the Moon of Wintertime(the Huron Christmas Carol),December,"[""Jesse Brown""]",2012,Classical,54,Calm,english,1.2812170578242137
7v3j07pAbGH03yJhK9SBIj,(-),Ellengæst,"[""Crippled Black Phoenix""]",2020,Rock,12,Calm,english,3.550071867485173
56cTVsbYT9qIgOHSk0J9wJ,(---) Pt. 4,Love of Life (Deluxe),"[""Swans""]",2015,Rock,6,Calm,english,5.987213063271634
6DEaElhv0ogtMnuODOnylV,(2 Moons),No Flashlight,"[""Mount Eerie""]",2015,Rock,8,Calm,english,3.322796943959162
51nO64TP2SAEbxCpCixzJh,(333),[for the profane],"[""selki girl""]",2020,Electronic,5,Calm,,1.9142926138562293
3hzHZoQ2LFfFqesE0t49a9,(A Rhyme) This Time,This Time,"[""Al Jarreau""]",1980,Jazz,20,Calm,english,1.9299276579887363
0WuBXakz0QthSPaUjpnjVs,(BedHead),Everybody Works,"[""Jay Som""]",2017,Pop,0,Calm,english,1.731166740815541
1sKZUXsZUHe9AhxxszanrW,(Hear The) Ballad of the Swords,"The Revenge of the Horned One, Pt. II","[""Countess""]",2002,Rock,0,Calm,english,2.1134576310675124
0hzM1ILSHv4ojxpZrL2hQM,(How Can I Face) Wintertime Alone,Christmas in Hollywood,"[""Plas Johnson""]",2000,Jazz,1,Calm,english,1.2507669122694205
2aODUMrXCZ4DD7A1uqogn0,(How Will I Know) I'm Falling in Love Again,Phases And Stages,"[""Willie Nelson""]",1974,Country,21,Calm,english,2.0400836097713224
1kQsO7KMZVueNItSwoTyGl,(I Love You) For Sentimental Reasons,Table For Two,"[""David Huntsinger""]",2008,Classical,31,Calm,english,1.771627154892939
5QnCtH7euld6R68UwcWrte,(I Love You) For Sentimental Reasons,The Nat King Cole Story,"[""Nat King Cole""]",1991,Jazz,65,Calm,english,2.6778826893714727
2uQkCAAe3tVGTvxZDVxfG9,(I'm Arfaid) The Masquerade Is Over,Love For Sale,"[""George Benson""]",2010,Jazz,0,Calm,english,2.816621702210692
6e7oObDahu70V9bd1zsqON,(March 19th 1983) It Was Probably Green,Songs About Leaving,"[""Carissa's Wierd""]",2010,Rock,37,Calm,english,1.355957464047988
0fC1AwMWp2DKssTRupAYGJ,(Nice Dream),Hold Me to This - Christopher O'Riley Plays Radiohead,"[""Christopher O'Riley""]",2005,Electronic,18,Calm,english,1.6071071750062251
42wAZSiIJApKlrpcOtPDiC,(Our) Love Is Here To Stay - Live,The Unforgettable Nhøp Trio Live,"[""Niels-Henning \u00d8rsted Pedersen""]",2007,Jazz,3,Calm,english,4.443337447872185
3reEIhyxoza0Lo7uzAQh59,(Something),Sauna,"[""Mount Eerie""]",2015,Rock,8,Calm,english,3.239775023978606
0OBtwVKHJhmROyihSTenR5,"(There Is) No Greater Love - Live At Jazzhus Montmartre, Copenhagen / March 3rd 1991",People Time,"[""Stan Getz"", ""Kenny Barron""]",2009,Jazz,8,Calm,english,4.791506260695678
3ez4nhSoUYWxUKaYtMEx90,(They Long To Be) Close To You,Burt Bacharach,"[""Burt Bacharach""]",1971,Pop,31,Calm,english,2.5769120866436426
4JX4uiphPXHKbNL4lqa5xB,(They Long to Be) Close to You,Mixtape,"[""Sungha Jung""]",2017,Folk,23,Calm,english,1.932417138645358
2wVaVgOYzFupaxHA5mYIEG,(deeperthanbefore),Underneath,"[""Code Orange""]",2020,Rock,19,Calm,english,3.4401795898027427
50z5rFb0tF8N9NMhdb5UWY,(untitled),Akron/Family,"[""Akron/Family""]",2005,Folk,6,Calm,english,1.6476431103041695
1htaPCWAvl0XwYIt5j1IdE,******* (Plastic Jesus),Transmissions From the Satellite Heart,"[""The Flaming Lips""]",1993,Rock,26,Calm,english,2.9270261110657847
