id,name,album_name,artists,year,genre,popularity,mood,language,mood_distance
1JrpMwlzPuWgfmGiIBi9QI,""" """,Burner,"[""Breadwinner""]",1994,Rock,0,Sad,english,2.983391614099836
0tMgFpOrXZR6irEOLNWwJL,"""40""",War,"[""U2""]",1983,Rock,0,Sad,english,2.135592298755061
3vMmwsAiLDCfyc1jl76lQE,"""40"" - Remastered 2008",War (Remastered),"[""U2""]",1983,Rock,38,Sad,english,2.067968961235665
394ilPgtnqDuNmwwmLIvEb,"""40"" - Songs Of Surrender",Songs Of Surrender,"[""U2""]",2023,Rock,29,Sad,english,1.75105876268301
6gni5sa8KVMkT87ikCguqc,"""A"" Your Adorable",A Cheerful Little Earful,"[""Diana Panton""]",2019,Jazz,0,Sad,english,1.9630047815785183
6jZEkGymBpDfZNNB7vgduK,"""Aiight""",Pineapple Now-Laters,"[""BJ The Chicago Kid""]",2012,R&B,0,Sad,english,1.0931636260675384
7AoDOSPdQmcy7mZ5MTOqh7,"""Blind""",Before We Forgot How To Dream,"[""SOAK""]",2015,Folk,6,Sad,english,2.836705530181329
7CxWnKEQR0mBmMNTq43ET8,"""Either He's Dead or My Watch Has Stopped""",Dissatisfactions,"[""Onsind""]",2010,Folk,11,Sad,english,2.04589147934753
5ezuHIXXlsPQY4rbsSKT1W,"""He Was Tall""",Rodgers + Hammerstein's Cinderella (Original Broadway Cast Recording),"[""Laura Osnes""]",2013,Classical,27,Sad,english,2.072446914233411
4KshJfh2M1sS6Js5wSupwU,"""Heroes"" / ""Helden"" - 2001 Remaster",'Heroes' / 'Helden' / 'Héros',"[""David Bowie""]",1977,Rock,34,Sad,english,2.204913999786746
1XpAUgrfJpM3qSLaiaYUxj,"""In My Own Little Corner""",Rodgers + Hammerstein's Cinderella (Original Broadway Cast Recording),"[""Laura Osnes""]",2013,Classical,39,Sad,english,1.4827761432277644
7A6DMFepXG4AOrvqjEfhgG,"""Life Is a Gift""",It's Like Magic,"[""Michael Glencer""]",2019,Rock,0,Sad,english,3.496996121453185
280zqg7gblMTRU1Hc5VxpY,"""Loneliness Of Evening""",Rodgers + Hammerstein's Cinderella (Original Broadway Cast Recording),"[""Santino Fontana"", ""Laura Osnes""]",2013,Classical,30,Sad,english,2.0330692571567424
5jsoxI7x4HqeQI2UPtcRrl,"""M"" Is For Morphine",Addicted To Bad Ideas: Peter Lorre's Twentieth Century,"[""World / Inferno Friendship Society""]",2007,Folk,12,Sad,english,2.247019307294317
3ftGs8ddu8Y6OiN9ooAPCF,"""Ma"" Rainey's Black Bottom",Ma Rainey's Black Bottom,"[""Ma Rainey""]",2006,Blues,0,Sad,english,3.499229659353837
0B2E5hTvHL5odx0tqyhwro,"""Murder"" He Says",Mona Lisa Smile (Music from the Motion Picture),"[""Tori Amos""]",2003,Rock,18,Sad,english,1.5885892677491606
5eLMeTVY9Ji33xvq8yxsEc,"""Murder"", He Says",The Very Best Of Dinah Shore,"[""Dinah Shore""]",2001,Jazz,27,Sad,english,2.3141685703534334
0hTHSqS3m1p7AHm9aCOwoR,"""Now, seeing as Henry was running out of women to marry in England...""",SIX: LIVE ON OPENING NIGHT (Original Broadway Cast Recording),"[""SIX"", ""Brittney Mack""]",2022,Classical,43,Sad,english,4.400341846593309
0REuTBKVOxzyEw0zNDN754,"""O, We're Going Home""",Finding Dory (Original Motion Picture Soundtrack),"[""Thomas Newman""]",2016,Classical,24,Sad,english,2.795489900378044
1IjCzOwbXHoO3ZYqi5Hsuh,"""Say I'm the One""","""Say I'm the One""","[""Griffin House""]",2014,Folk,34,Sad,english,1.4554961446392685
4oT5ZntOVaqovmepn35ObL,Smile,The Jazz Album,"[""Charlie Chaplin"", ""Thomas Quasthoff""]",2007,Folk,2,Sad,english,2.8644229670239847
